Earth_x,Earth_y,Sun_x,Sun_y
149977978064.92264,66.121164546048,2572992000.0,0.0
149911918767.52606,264.46511831799495,5145228503.876766,2.2683875555292716
149801841629.3201,594.9732477126306,7715954241.622507,9.072871307382977
149647779179.49927,1057.5478833737716,10284414395.38756,22.679802285312107
149449776944.96225,1652.0523301586545,12849854825.377626,45.35349564847309
149207893436.3442,2378.3109090761745,15411522295.53287,79.35555308079583
148922200130.06674,3236.109011182267,17968664698.91633,126.94418605916371
148592781446.41168,4225.193163413538,20520531282.73919,190.37354021194633
148219734723.62653,5345.271106336086,23066372872.95058,271.89302098498376
147803170188.07053,6596.011883782252,25605442098.31982,373.7466208315934
147343210920.41193,7977.045944343944,28136993613.93913,498.172248142554
146839992817.8881,9487.96525468697,30660284324.075157,647.4010581313185
146293664552.64194,11128.323424646755,33174573604.297886,823.6567858889189
145704387526.14893,12897.63584406169,35679123522.81577,1029.1550818221504
145072335819.7508,14795.379831296263,38173199060.9463,1266.1028496876613
144397696141.31332,16820.994793402122,40656068332.6515,1536.697587433533
143680667768.0265,18973.882397861125,43127002803.06834,1843.1267310588003
142921462485.36728,21253.406755850494,45585277505.96424,2187.5670017001535
142120304522.24622,23658.894616966136,48030171260.04859,2572.1837561537686
141277430482.36035,26189.635575336375,50460966884.0713,2999.1303410388336
140393089271.7765,28844.88228705428,52876951410.64018,3470.5474508078805
139467542022.76984,31623.850698853046,55277416298.68937,3988.562489807498
138501062013.94467,34525.72028794496,57661657644.53144,4555.288938591383
137493934586.6646,37549.6343129407,60028976391.42659,5172.825724685992
136446457057.82143,40694.70007576199,62378678537.60274,5843.256598007283
135358938628.97278,43959.98919445689,64710075342.66109,6568.649511125195
134231700291.88019,47344.5378868234,67022483532.30227,7351.056004570586
133065074730.47989,50847.34726474325,69315225501.30885,8192.510597377359
131859406219.32043,54467.38363912448,71587629514.72083,9095.030183050432
130615050518.50201,58203.57883534749,73839029907.14108,10060.613431148087
129332374765.1537,62054.830519106225,76068767280.10907,11091.240194665
128011757361.48586,66020.00253253225,78276188697.48116,12188.870923399996
126653587859.4562,70097.92524048651,80460647878.7572,13355.446083490227
125258266842.08908,74287.3958869,82621505390.29373,14592.885583291072
123826205801.48839,78587.17896104144,84758128834.34471,15903.088205778555
122357827013.58609,82996.00657358668,86869893035.87193,17287.93104764858
120853563409.66887,87512.57884236176,88956180227.06781,18749.268965284686
119313858444.72672,92135.564287628,91016380229.53433,20288.934027763302
117739165962.66827,96863.60023677482,93049890634.06265,21908.734977062893
116129950058.44864,101695.29323828293,95056116977.95901,23610.456695640514
114486684937.15633,106629.21948481772,97034472919.86339,25395.859681536487
112809854770.1071,111663.9252453094,98984380412.00818,27266.6795311651
111099953547.99324,116797.92730587452,100905269869.86557,29224.626429946216
109357484931.13763,122029.7134194299,102796580339.13277,31271.384650929784
107582962096.90327,127357.74276384801,104657759660.00555,33408.612061562126
105776907584.30907,132780.4464084999,106488264628.69165,35637.939638739925
103939853135.90427,138296.22778902954,108287561156.11626,37960.970992294606
102072339536.95425,143903.46319020074,110055124423.77333,40379.28189704671
100174916451.99124,149600.50223665583,111790439036.67717,42894.41983356669
98248142258.78444,155385.66839142254,113492999173.36995,45507.903537775186
96292583879.78477,161257.25946200374,115162308732.94193,48221.22255951282
94308816611.09987,167213.5481138822,116797881479.02222,51035.83683020586
92297423949.056,173252.7823912708,118399241180.69908,53953.17623975123
90258997414.40414,179373.18624493637,119965921750.32974,56974.640222740505
88194136374.22795,185572.96006692344,121497467378.20105,60101.59735413947
86103447861.61203,191850.2812320025,122993432664.00327,63335.38495453623
83987546393.1298,198203.3046456656,124453382745.08055,66677.30870506738
81847053784.21024,204630.16329848996,125876893421.42276,70128.64227212839
79682598962.44383,211128.96882668952,127263551277.36441,73690.62694197074
77494817778.88844,217697.81207867182,128612953799.95792,77364.47126528478
75284352817.43602,224334.76368741682,129924709493.98907,81151.35071186395
73051853202.30206,231037.87464849275,131198437993.60443,85052.40733544217
70797974403.69958,237805.17690352243,132433770170.52098,89068.74944879279
68523378041.760345,244634.68392891265,133630348238.78989,93201.45130917394
66228731688.766,251524.39132965787,134787825856.08739,97451.55281420123
63914708669.75247,258472.27743802828,135905868221.50691,101820.05920822568
61581987861.551155,265476.3039169515,136984152169.82782,106307.94079929031
59231253490.3307,272534.41636789596,138022366262.2374,110916.1326867363
56863194927.703766,279644.5449430634,139020210873.48386,115645.53449952466
54478506485.46291,286804.60496169707,139977398275.43948,120497.01014533713
52077887209.01061,294012.49753031106,140893652717.05386,125471.38757051509
49662040669.548,301266.11016664625,141768710500.679,130569.45853089256
47231674755.08766,308563.31742715766,142602320054.74866,135791.97837357526
44787501460.35562,315901.98153783625,143394242002.79617,141139.66582971413
42330236675.647964,323279.95302817016,144144249228.79523,146613.2028183183
39860599974.7076,330695.0713680474,144852126938.81042,152213.23426114846
37379314401.68685,338145.1656074038,145517672718.94498,157940.36790872843
34887106257.26149,345628.05501841847,146140696589.57394,163795.17417750857
32384704883.962067,353141.5497400596,146721021055.85342,169778.18599821193
29872842450.788216,360683.4514247827,147258481154.49612,175889.8986753893
27352253737.171814,368251.5538871845,147752924496.8063,182130.76975820662
24823675916.35471,375843.6437544141,148204211307.9669,188501.21892248464
22287848338.246777,383457.5011181449,148612214462.5739,195001.62786400644
19745512311.829967,391090.9001879092,148976819516.41376,201632.34020310568
17197410887.173946,398741.60994559934,149297924734.4804,208393.66140054457
14644288637.128813,406407.3948009385,149575441115.23068,215285.85868468703
12086891438.760244,414086.01524772437,149809292411.07687,222309.16098996933
9525966254.59232,421775.2285206509,149999415145.11725,229463.75890666666
6962260913.723043,429472.78925251175,150145758624.1058,236749.80464195088
4396523892.877457,437176.4501315916,150248284947.6644,244167.4119922315
1829504097.4629917,444883.9625590502,150306969013.74057,251716.65632676802
-738049357.3084884,452593.0773061066,150321798520.31653,259397.57458253892
-3305387365.167776,460301.54517083045,150292773963.37503,267210.1652703491
-5871761047.340595,468007.1176343478,150219908631.12946,275154.38849215436
-8436421970.841415,475707.5475162718,150103228594.52618,283230.16596957756
-10998622366.445463,483400.5896291664,149942772694.02893,291437.38108358945
-13557615346.275885,491084.00143185485,149738592522.69498,299775.87892532215
-16112655120.943367,498755.54368138436,149490752405.55515,308245.4663579814
-18662997216.17587,506412.98108346004,149199329375.30966,316845.9120898195
-21207898688.87649,514054.08294116147,148864413144.35382,325576.9467581294
-23746618342.547874,521676.6238017575,148486106073.14755,334438.26302421483
-26278416942.02194,529278.3841014353,148064523134.94482,343429.51567929104
-28802557427.434208,536857.1508077611,147599791876.8993,352550.32176126586
-31318305127.382336,544410.7180596918,147092052377.56357,361800.26068234834
-33824927971.20896,551936.8878049571,146541457200.80093,371178.8743674295
-36321696700.34945,559433.4704346338,145948171346.1288,380685.6674031771
-38807885078.68557,566898.285414736,145312372195.51434,390320.10719778226
-41282770101.84658,574329.1619146443,144634249456.64362,400081.6241512946
-43745632205.39985,581723.939432201,143914005102.68668,409969.6118364785
-46195755471.873436,589080.4684152981,143151853308.5816,419983.4271901213
-48632427836.553825,596396.6108797885,142348020383.86172,430122.3907147202
-51054941292.00232,603670.2410235484,141502744702.05093,440385.78669047385
-53462592091.234344,610899.2458365266,140616276626.65298,450772.8633975007
-55854680949.50634,618081.5257066123,139688878433.76147,461282.83334820357
-58230513244.65556,625214.9950211579,138720824231.31802,471914.873529698
-60589399215.938705,632297.5827639949,137712399875.04697,482668.1256562192
-62930654161.31579,639327.2331077817,136663902881.09613,493541.69643142
-65253598633.12646,646301.906001524,135575642335.4131,504534.6578204693
-67557558632.10637,653219.5777531117,134447938799.8883,515646.04733185895
-69841865799.69203,660078.2416067173,133281124215.29619,526874.8683088244
-72105857608.5631,666875.9083149013,132075541801.06685,538220.0902302812
-74348877551.37158,673610.6067052744,130831545951.92136,549680.6490211796
-76570275327.60857,680280.3842415677,129549502131.40439,561255.4473721738
-78769407028.559,686883.3075789614,128229786762.3488,572943.3550685036
-80945635320.2965,693417.4631135296,126872787114.30736,584743.2093279825
-83098329624.6701,699880.9575256559,125478901187.98761,596653.8151479833
-85226866298.23639,706271.9183172787,124048537596.7264,608673.9456613126
-87330628809.09009,712588.4943428284,122582115445.04141,620802.3425008614
-89409007911.54802,718828.8563337177,121080064204.29764,633037.7161729186
-91461401818.64116,724991.1974162518,119542823585.52727,645378.7464390305
-93487216372.3706,731073.7336228241,117970843409.44232,657824.0827062901
-95485865211.68408,737074.704396268,116364583473.6797,670372.3444259353
-97456769938.13004,742992.373087236,114724513417.31915,683022.121500136
-99399360279.14737,748825.0274444786,113051112582.71503,695771.9746968459
-101313074248.94945,754570.9800979014,111344869874.68352,708620.4360725946
-103197358306.96175,760228.5690342762,109606283617.0874,721566.0094030944
-105051667513.77339,765796.1580654874,107835861406.86087,734607.1706215322
-106875465684.56337,771272.1372891967,106034119965.51782,747742.3682644184
-108668225539.96317,776654.9235418099,104201584988.18715,760970.0239248603
-110429428854.31813,781942.9608436339,102338790990.21931,774288.5327131277
-112158566601.31085,787134.7208361127,100446281151.40889,787696.2637243775
-113855139096.91035,792228.703211035,98524607157.8782,801191.5605133998
-115518656139.61188,797223.4361316048,96574329041.66782,814772.7415762497
-117148637147.9326,802117.4766452757,94596015018.07982,828438.1008386265
-118744611295.1297,806909.4110882425,92590241320.82066,842185.9081508596
-120306117641.10759,811597.8554814954,90557592034.99023,856014.4097893611
-121832705261.48216,816181.4559183365,88498658927.96483,869921.8289644016
-123323933373.77065,820658.888943267,86414041278.22159,883906.3663340681
-124779371460.67632,825028.8619221512,84304345702.1528,897966.2005242555
-126198599390.43826,829290.1134035682,82170185978.9184,912099.48865455
-127581207534.21712,833441.4134712642,80012182873.38574,926304.3668698547
-128926796880.48831,837481.5640876199,77830963957.20596,940578.9508776102
-130234979146.41548,841409.3994280508,75627163428.07646,954921.3364904616
-131505376886.17726,845223.7862062596,73401421927.23952,969329.6001742214
-132737623596.22144,848923.6239902636,71154386355.26732,983801.7996009776
-133931363817.42143,852507.8455091205,68886709686.1841,998335.9742071943
-135086253234.11064,855975.4169502809,66599050779.976135,1012930.1457566533
-136201958769.97119,859325.3382474951,64292074193.54094,1027582.3189080816
-137278158680.75423,862556.6433592077,61966449990.12702,1042290.4817873114
-138314542643.80984,865668.4005373716,59622853547.31602,1057052.6065638158
-139310811844.4055,868659.7125866212,57261965363.59916,1071866.6500314665
-140266679058.81238,871529.7171137393,54884470863.600365,1086730.5541933533
-141181868734.14044,874277.586767364,52491060201.99838,1101642.246850511
-142056117064.90295,876902.5294678736,50082428066.20074,1116599.6421943943
-142889172066.29294,879403.7886274016,47659273477.82238,1131600.641402939
-143680793644.1541,881780.643359924,45222299593.0222,1146643.1332400565
-144430753661.62997,884032.4086813749,42772213501.7507,1161724.994658394
-145138836002.47552,886158.4356997407,40309726025.96233,1176844.0914052054
-145804836631.01685,888158.1117950894,37835551516.84623,1191998.2786311689
-146428563648.74442,890030.8607894932,35350407651.12916,1207185.4015019895
-147009837347.52725,891776.1431068039,32855015226.50469,1222403.2958126266
-147548490259.43515,893393.4559222457,30350097956.24277,1237649.788603981
-148044367203.15784,894882.3333017891,27836382263.033997,1252922.6987818808
-148497325327.00998,896242.3463312738,25314597072.12295,1268219.837738201
-148907234148.51215,897473.1032352512,22785473603.785217,1283539.0099739542
-149273975590.53876,898574.249485519,20249745165.202682,1298878.0137241879
-149597444014.02423,899545.4678993225,17708146941.791874,1314234.6415845244
-149877546247.22018,900386.478727199,15161415788.04018,1329606.6811391776
-150114201611.49686,901097.039730447,12610290017.904873,1344991.9155902828
-150307341943.6824,901676.9462482006,10055509194.829914,1360388.1243883742
-150456911614.9355,902126.0312540947,7497813921.435602,1375793.0838638446
-150562867546.1464,902444.1654025067,4937945628.93618,1391204.5678592224
-150625179219.86328,902631.2570643655,2376646366.340538,1406620.348362099
-150643828688.74084,902687.2523525187,-185341410.50879478,1422038.1961385414
-150618810580.5092,902612.1351366517,-2747275050.0031533,1437455.881366827
-150550132099.46222,902405.9270477565,-5308411915.886507,1452871.1742713295
-150437813024.46478,902068.6874721483,-7868009598.370256,1468281.8457563939
-150281885703.47925,901600.5135350314,-10425326125.188816,1483685.6680400341
-150082395044.61267,901001.540073618,-12979620172.540764,1499080.415287287
-149839398503.68668,900271.9395998069,-15530151275.860321,1514463.864243056
-149552966068.33295,899411.9222524301,-18076180040.364017,1529833.7948642806
-149223180238.61786,898421.7357390773,-20616968351.317364,1545187.9909512657
-148850136004.20084,897301.6652675145,-23151779583.96644,1560524.240778003
-148433940818.03174,896052.0334667092,-25679878813.079365,1575840.3377213224
-147974714566.59314,894673.2002974828,-28200533022.042645,1591134.0808887074
-147472589536.69467,893165.5629528102,-30713011311.457516,1606403.2757446077
-146927710378.82684,891529.5557477892,-33216585107.18143,1621645.7347350868
-146340234067.08295,889765.6499993053,-35710528367.759964,1636859.2779106398
-145710329855.65836,887874.3538954201,-38194117791.1945,1652041.7335470153
-145038179231.93726,885856.2123545139,-40666633020.99122,1667190.938763881
-144323975866.17755,883711.8068742137,-43127356851.43686,1682304.7401411668
-143567925557.80594,881441.7553701437,-45575575432.04714,1697380.9943329238
-142770246178.33536,879046.7120045336,-48010578471.13358,1712417.5686785367
-141931167610.91827,876527.3670047272,-50431659438.434784,1727412.3418111273
-141050931686.54984,873884.4464716311,-52838115766.75832,1742363.2042629865
-140129792116.93564,871118.7121781489,-55229249052.57961,1757268.0590678758
-139168014424.04016,868230.9613576502,-57604365255.54421,1772124.822360035
-138165875866.33194,865222.0264825203,-59962774896.820335,1786931.423969739
-137123665361.74316,862092.775032845,-62303793256.24839,1801685.8080152413
-136041683407.3614,858844.1092552844,-64626740568.23467,1816385.9334909488
-134920241995.87267,855476.965912192,-66930942216.3366,1831029.7748516651
-133759664528.77534,851992.3160210381,-69215728926.48694,1845615.32259275
-132560285726.38557,848391.1645841997,-71480436958.80484,1860140.5838260343
-131322451534.65521,844674.5503091802,-73724408297.94177,1874603.5828513363
-130046519028.82469,840843.545319326,-75946990841.9106,1889002.3617234237
-128732856313.93338,836899.2548551073,-78147538589.3463,1903334.9808142663
-127381842422.2114,832842.8169660355,-80325411825.14735,1917599.5193704271
-125993867207.37715,828675.4021932904,-82479977304.44673,1931794.0760654376
-124569331235.86597,824398.2132431321,-84610608434.86203,1945916.7695470063
-123108645675.01576,820012.4846511777,-86716685456.97452,1959965.7389789098
-121612232178.23676,815519.482437621,-88797595622.98709,1973939.1445774152
-120080522767.19276,810920.5037534809,-90852733373.51163,1987835.168142087
-118513959711.02246,806216.8765179609,-92881500512.43642,2001652.0135808296
-116912995402.62988,801409.9590470104,-94883306379.82487,2015387.9074290167
-115278092232.07422,796501.139673175,-96857568022.79697,2029041.099362566
-113609722457.0895,791491.8363568308,-98803710364.3452,2042609.8627048114
-111908368070.76588,786383.4962888948,-100721166370.03755,2056092.494927031
-110174520666.42493,781177.5954851119,-102609377212.55981,2069487.3181424874
-108408681299.72168,775875.6383720139,-104467792434.05069,2082792.6795938415
-106611360348.0078,770479.1573646558,-106295870106.18294,2096006.9521337983
-104783077366.99017,764989.7124362309,-108093076987.94464,2109128.5346988463
-102924360944.72054,759408.8906796727,-109858888681.07504,2122155.852775958
-101035748552.95218,753738.3058613517,-111592789783.10974,2135087.358862107
-99117786395.90083,747979.5979669773,-113294274037.99072,2147921.5329164807
-97171029256.44731,742134.4327398196,-114962844484.19699,2160656.882805241
-95196040339.82047,736204.5012113653,-116598013600.3522,2173291.9447387145
-93193391114.79964,730191.5192245255,-118199303448.26627,2185825.283700878
-91163661152.47649,724097.2269495161,-119766245813.36821,2198255.493871008
-89107437962.61705,717923.3883925324,-121298382342.48833,2210581.199037376
-87025316827.66528,711671.7908973428,-122795264678.94821,2222801.0530028553
-84917900634.43047,705344.2446399279,-124256454594.9176,2234913.739982327
-82785799703.50111,698942.5821162928,-125681524120.99792,2246917.9749917546
-80629631616.42928,692468.6576235864,-127070055672.99261,2258812.5042288145
-78450021040.72935,685924.3467346573,-128421642175.8253,2270596.1054449617
-76247599552.73654,679311.5457661841,-129735887184.56725,2282267.5883088163
-74023005458.37068,672632.1712405165,-131012405002.53624,2293825.7947607576
-71776883611.85194,665888.1593413663,-132250820796.42978,2305269.5993586117
-69509885232.41547,659081.4653634906,-133450770708.45602,2316597.9096143283
-67222667719.07274,652214.0631565108,-134611901965.42664,2327809.6663215323
-64915894463.468285,645287.9445630116,-135733872984.77641,2338903.8438738487
-62590234660.880775,638305.1188510697,-136816353477.4753,2349879.450573898
-60246363119.418396,631267.6121413596,-137859024547.799,2360735.5289328587
-57884960067.458954,624177.4668289907,-138861578789.92532,2371471.1559605
-55506710959.38582,617036.7410002261,-139823720381.3238,2382085.4434455833
-53112306279.67149,609847.5078442412,-140745165172.9075,2392577.5382265477
-50702441345.36116,602611.8550600776,-141625640775.9161,2402946.622452373
-48277816107.00919,595331.8842589525,-142464886645.5002,2413191.913833548
-45839134948.12228,588009.7103620834,-143262654160.9782,2423312.6658830373
-43387106483.16329,580647.4609941925,-144018706702.73706,2433308.168147182
-40922443354.17076,573247.2758728535,-144732819725.7498,2443177.746426434
-38445862026.04922,565811.306193848,-145404780829.68295,2452920.762985855
-35958082580.58639,558341.7140126997,-146034389825.5686,2462536.6167553016
-33459828509.253708,550840.6716225545,-146621458799.01544,2472024.7435192154
-30951826504.847137,543310.3609285797,-147165812169.93567,2481384.616095955
-28434806252.025818,535752.9728190529,-147667286748.76425,2490615.7445065957
-25909500216.806625,528170.7065333168,-148125731789.1484,2499717.676133129
-23376643435.073185,520565.76902677474,-148541009037.08618,2508689.9958660016
-20836973300.158344,512940.3743331038,-148912992776.49377,2517532.326240935
-18291229349.559658,505296.7429238653,-149241569871.18228,2526244.327564957
-15740153050.847816,497637.1010656918,-149526639803.2255,2534825.6980316048
-13184487586.828455,489963.68017523247,-149768114707.70135,2543276.1738252346
-10624977640.018179,482278.71617203945,-149965919403.79065,2551595.5292143975
-8062369176.4960575,474584.4488295789,-150119991422.2175,2559783.576634229
-5497409229.192249,466883.12112455204,-150230281029.01736,2567840.166757813
-2930845680.675786,459176.9785847128,-150296751245.61893,2575765.1885564784
-363427045.503932,451468.2686353682,-150319377865.228,2583558.56934899
2204097747.8041396,443759.2399447519,-150298149465.5015,2591220.274839605
4770979575.106261,436052.1417684581,-150233067417.50192,2598750.309144958
7336469335.225382,428349.22329312813,-150124145890.92267,2606148.714809749
9899818168.723175,420652.7329795792,-149971411855.5763,2613415.5728112124
12460277676.795166,412964.9179055692,-149774905079.13876,2620551.0025523463
15017100140.223156,405288.0231083887,-149534678121.14377,2627555.161843877
17569538738.320446,397624.2909274752,-149250796323.22208,2634428.2468749536
20116847767.805183,389975.9603472425,-148923337795.58267,2641170.4921725593
22658282861.53692,382345.26634032145,-148552393399.7327,2647782.170549625
25193101207.05129,374734.4392114065,-148138066727.43506,2654263.5930418517
27720561764.82759,367145.7039419042,-147680474075.90323,2660615.10883323
30239925486.223846,359581.2795355802,-147179744419.23434,2666837.1051702704
32750455531.01385,352043.37836540124,-146636019376.08228,2672930.007264939
35251417484.46061,344534.20552176924,-146049453173.57422,2678894.2781863175
37742079573.86046,337055.95816234447,-145420212607.47495,2684730.4187409957
40221712884.49214,329610.8248636555,-144748476998.60425,2690438.9673422147
42689591574.90502,322200.98497469333,-144034438145.51443,2696020.499867779
45144993091.48071,314828.6079726873,-143278300273.4356,2701475.6295067663
47587198382.20226,307495.8528212599,-142480279979.4979,2706805.0065950537
50015492109.56519,300204.8673311586,-141640606174.24103,2712009.3184397025
52429162862.564674,292957.78752376145,-140759520019.4225,2717089.289132223
54827503367.69323,285756.73699755344,-139837274862.13715,2722045.679350771
57209810698.883446,278603.82629777066,-138874136165.26224,2726879.2861513053
59575386486.33029,271501.1522894084,-137870381434.24268,2731590.9427477615
61923537124.12782,264450.79753378907,-136826300140.23322,2736181.518281284
64253573976.655174,257454.82966888542,-135742193639.61472,2740651.917578572
66564813583.647,250515.3007935937,-134618375089.90355,2745003.080899399
68856577863.88371,243634.24685615094,-133455169362.0739,2749235.983673356
71128194317.43701,236813.68704688989,-132252912949.31416,2753351.6362258946
73378996226.40675,230055.62319552375,-131011953872.23985,2757351.0834937235
75608322854.08516,223362.039173153,-129732651580.58661,2761235.4047296443
77815519642.48491,216734.90029918452,-128415376851.40807,2765005.713196887
79999938408.16792,210176.15275335294,-127060511683.80463,2768663.155853032
82160937536.31206,203687.7229930328,-125668449190.21033,2772208.9130235976
84297882172.95323,197271.51717602875,-124239593484.26614,2775644.1980653782
86410144415.34105,190929.42058903025,-122774359565.30952,2778970.2570196223
88497103500.34636,184663.29708191528,-121273173199.51071,2782188.368255142
90558145990.85965,178474.98850808656,-119736470797.688,2785299.8421014543
92592665960.11966,172366.3141710223,-118164699289.83505,2788306.0204720437
94600065173.91226,166339.0702772217,-116558315996.39455,2791208.276477862
96579753270.57988,160395.02939572398,-114917788496.31377,2794008.014031164
98531147938.7827,154535.93992437795,-113243594491.91869,2796706.6674397876
100453675092.9532,148763.52556303746,-111536221670.64444,2799305.700992
102346769046.38623,143079.48479385593,-109796167563.6611,2801806.6085320176
104209872681.90765,137485.49036885143,-108023939401.43488,2804210.9130263287
106042437620.06496,131983.18880491206,-106220053966.26587,2806520.1661209343
107843924384.78426,126574.19988640846,-104385037441.84477,2808735.947689641
109613802566.43854,121260.1161755792,-102519425259.87198,2810859.8653735314
111351550982.27295,116042.50253085165,-100623761943.78343,2812893.5541117513
113056657834.1335,110922.8956332593,-98698600949.62903,2814838.6756637422
114728620863.44658,105902.80352111363,-96744504504.15009,2816696.9181230683
116366947503.3973,100983.70513308664,-94762043440.10355,2818469.9954229747
117971155028.25551,96167.04985985726,-92751797028.88177,2820159.6468338263
119540770699.79941,91454.25710447258,-90714352810.4776,2821767.6364525747
121075331910.78723,86846.71585157196,-88650306420.8454,2823295.752684408
122574386325.42876,82345.78424561961,-86560261416.70993,2824745.807716737
124037492016.8089,77952.78917828818,-84444829097.87573,2826119.6369856773
125464217601.21696,73669.02588513336,-82304628327.09067,2827419.0986351855
126854142369.3359,69495.75755169628,-80140285347.51823,2828646.0729690185
128206856414.24702,65434.21492916776,-77952433597.8742,2829802.461895678
129521960756.20636,61485.595959745355,-75741713525.28409,2830890.1883665137
130799067464.15034,57651.06541181095,-73508772395.9185,2831911.1958071515
132037799773.88914,53931.75452505373,-71254264103.46495,2832867.447542429
133237792202.94716,50328.76066565983,-68978848975.49474,2833760.9262150093
134398690662.01144,46843.14699168704,-66683193577.78502,2834593.633197854
135520152562.94965,43475.942128739334,-64367970516.65659,2835367.5880007404
136601846923.36049,40228.139856052774,-62033858239.388756,2836084.827671005
137643454467.6206,37100.69880310083,-59681540832.77353,2836747.406188699
138644667724.39307,34094.54215682374,-57311707819.87203,2837357.393856347
139605191120.56384,31210.55737958294,-54925053955.03668,2837916.876683498
140524741071.57385,28449.59593793798,-52522279017.26347,2838427.955766262
141403046068.11514,25812.473042339865,-50104087601.9393,2838892.746662031
142239846759.1614,23299.96739783091,-47671188911.04992,2839313.378759572
143034896031.30386,20912.82096583754,-45224296541.91473,2839691.9946447024
143787959084.36514,18651.738737138756,-42764128274.515144,2840030.7494617407
144498813503.26462,16517.388516089115,-40291405857.484,2840331.810270936
145167249326.11066,14510.400716171276,-37806854792.82371,2840597.3554020817
145793069108.49554,12631.368166949247,-35311204119.4217,2840829.573804517
146376087983.97113,10880.845932489596,-32805186195.431934,2841030.664393724
146916133720.68387,9259.351141313913,-30289536479.591858,2841202.835394731
147413046774.14954,7767.362827941858,-27764993311.544495,2841348.3036825242
147866680336.14938,6405.321786080097,-25232297691.2359,2841469.2941196873
148276900379.7303,5173.630433508416,-22692193057.45844,2841568.0388914724
148643585700.29352,4072.6526887102336,-20145425065.610767,2841646.776838524
148966627952.7576,3102.7138592906545,-17592741364.745728,2841707.75278746
149245931684.78226,2264.100542221099,-15034891373.9776,2841753.2168795327
149481414366.04184,1557.0605359454262,-12472626058.320436,2841785.42389758
149673006413.538,981.8027643783171,-9906697704.029453,2841806.632591483
149820651212.94263,538.497212822544,-7337859693.517619,2841819.105002355
